mouseGene	humanGene
Luzp1	LUZP1
Kdm1a	KDM1A
Ephb2	EPHB2
C1qb	C1QB
C1qc	C1QC
C1qa	C1QA
Zbtb40	ZBTB40
Wnt4	WNT4
Hspg2	HSPG2
Usp48	USP48
Rap1gap	RAP1GAP
Alpl	ALPL
Ece1	ECE1
Eif4g3	EIF4G3
Hp1bp3	HP1BP3
Sh2d5	SH2D5
Kif17	KIF17
Ddost	DDOST
Pink1	PINK1
Cda	CDA
Mul1	MUL1
Camk2n1	CAMK2N1
Ubxn10	UBXN10
Pla2g2d	PLA2G2D
Pla2g5	PLA2G5
Pla2g2e	PLA2G2E
Otud3	OTUD3
Tmco4	TMCO4
Capzb	CAPZB
Akr7a5	AKR7A2
Mrto4	MRTO4
Emc1	EMC1
Ubr4	UBR4
Iffo2	IFFO2
Aldh4a1	ALDH4A1
Arhgef10l	ARHGEF10L
Rcc2	RCC2
Padi4	PADI4
Padi3	PADI3
Padi1	PADI1
Padi2	PADI2
Sdhb	SDHB
Atp13a2	ATP13A2
Mfap2	MFAP2
Crocc	CROCC
Necap2	NECAP2
Szrd1	SZRD1
Fbxo42	FBXO42
Arhgef19	ARHGEF19
Epha2	EPHA2
Fam131c	FAM131C
Hspb7	HSPB7
Zbtb17	ZBTB17
Spen	SPEN
Fblim1	FBLIM1
Tmem82	TMEM82
Slc25a34	SLC25A34
Plekhm2	PLEKHM2
Ddi2	DDI2
Agmat	AGMAT
Dnajc16	DNAJC16
Casp9	CASP9
Efhd2	EFHD2
Fhad1	FHAD1
Tmem51	TMEM51
Kazn	KAZN
Prdm2	PRDM2
Pdpn	PDPN
Dhrs3	DHRS3
Vps13d	VPS13D
Tnfrsf1b	TNFRSF1B
Tnfrsf8	TNFRSF8
Zfp992	ZNF616
Zfp991	ZNF616
Zfp985	ZNF616
Zfp979	ZNF616
Zfp984	ZNF616
Miip	MIIP
Mfn2	MFN2
Plod1	PLOD1
2510039O18Rik	KIAA2013
Nppb	NPPB
Clcn6	CLCN6
Mthfr	MTHFR
Agtrap	AGTRAP
Draxin	DRAXIN
Mad2l2	MAD2L2
Fbxo6	FBXO6
Fbxo44	FBXO44
Fbxo2	FBXO2
Ubiad1	UBIAD1
Mtor	MTOR
Angptl7	ANGPTL7
Exosc10	EXOSC10
Srm	SRM
Masp2	MASP2
Tardbp	TARDBP
Casz1	CASZ1
Pex14	PEX14
Dffa	DFFA
Cort	CORT
Pgd	PGD
Kif1b	KIF1B
Ube4b	UBE4B
Rbp7	RBP7
Nmnat1	NMNAT1
Lzic	LZIC
Ctnnbip1	CTNNBIP1
Clstn1	CLSTN1
Pik3cd	PIK3CD
Tmem201	TMEM201
Slc25a33	SLC25A33
Spsb1	SPSB1
H6pd	H6PD
Gpr157	GPR157
Car6	CA6
Eno1	ENO1
Rere	RERE
Errfi1	ERRFI1
Park7	PARK7
Tnfrsf9	TNFRSF9
Camta1	CAMTA1
Per3	PER3
Vamp3	VAMP3
Dnajc11	DNAJC11
Thap3	THAP3
Phf13	PHF13
Klhl21	KLHL21
Zbtb48	ZBTB48
Tas1r1	TAS1R1
Nol9	NOL9
Plekhg5	PLEKHG5
Tnfrsf25	TNFRSF25
Espn	ESPN
Acot7	ACOT7
Gpr153	GPR153
Icmt	ICMT
Rpl22	RPL22
Chd5	CHD5
Kcnab2	KCNAB2
Nphp4	NPHP4
A430005L14Rik	C1orf174
Dffb	DFFB
Cep104	CEP104
Lrrc47	LRRC47
Smim1	SMIM1
Trp73	TP73
Wrap73	WRAP73
Tprgl	TPRG1L
Megf6	MEGF6
Arhgef16	ARHGEF16
Prdm16	PRDM16
Mmel1	MMEL1
Tnfrsf14	TNFRSF14
Hes5	HES5
Pank4	PANK4
Pex10	PEX10
Rer1	RER1
Morn1	MORN1
Ski	SKI
Faap20	FAAP20
Prkcz	PRKCZ
Gabrd	GABRD
Cfap74	CFAP74
Gnb1	GNB1
Nadk	NADK
Slc35e2	SLC35E2B
Cdk11b	CDK11A
Mmp23	MMP23B
Mib2	MIB2
Fndc10	FNDC10
Ssu72	SSU72
Tmem240	TMEM240
Atad3a	ATAD3A
Vwa1	VWA1
Mrpl20	MRPL20
Ccnl2	CCNL2
Aurkaip1	AURKAIP1
Mxra8	MXRA8
Dvl1	DVL1
Tas1r3	TAS1R3
Cptp	CPTP
Ints11	INTS11
Pusl1	PUSL1
Acap3	ACAP3
Ube2j2	UBE2J2
C1qtnf12	C1QTNF12
B3galt6	B3GALT6
Sdf4	SDF4
Tnfrsf4	TNFRSF4
Tnfrsf18	TNFRSF18
9430015G10Rik	C1orf159
Rnf223	RNF223
Agrn	AGRN
Isg15	ISG15
Plekhn1	PLEKHN1
Noc2l	NOC2L
Samd11	SAMD11
Cdk6	CDK6
Fam133b	FAM133B
Rbm48	RBM48
Pex1	PEX1
Gatad1	GATAD1
Ankib1	ANKIB1
Krit1	KRIT1
Lrrd1	LRRD1
Mterf1a	MTERF1
Cyp51	CYP51A1
Mterf1b	MTERF1
Fzd1	FZD1
Cdk14	CDK14
Cldn12	CLDN12
Gtpbp10	GTPBP10
Cfap69	CFAP69
Steap2	STEAP2
Steap1	STEAP1
Steap4	STEAP4
Sri	SRI
Adam22	ADAM22
Dbf4	DBF4
Slc25a40	SLC25A40
Rundc3b	RUNDC3B
Abcb1a	ABCB1
Abcb4	ABCB4
Crot	CROT
Tmem243	TMEM243
Dmtf1	DMTF1
Sema3d	SEMA3D
Sema3a	SEMA3A
Sema3e	SEMA3E
Cacna2d1	CACNA2D1
Hgf	HGF
Sema3c	SEMA3C
Cd36	CD36
Gnat3	GNAT3
Gnai1	GNAI1
Magi2	MAGI2
Phtf2	PHTF2
Tmem60	TMEM60
Rsbn1l	RSBN1L
Ptpn12	PTPN12
Gsap	GSAP
Ccdc146	CCDC146
Fgl2	FGL2
Fam185a	FAM185A
Fbxl13	FBXL13
Lrrc17	LRRC17
Armc10	ARMC10
Napepld	NAPEPLD
Pmpcb	PMPCB
Dnajc2	DNAJC2
Psmc2	PSMC2
Reln	RELN
Orc5	ORC5
Lhfpl3	LHFPL3
Kmt2e	KMT2E
Srpk2	SRPK2
Pus7	PUS7
Rint1	RINT1
Tomm7	TOMM7
Fam126a	FAM126A
Klhl7	KLHL7
Nupl2	NUP42
Kcnh2	KCNH2
Nos3	NOS3
Atg9b	ATG9B
Abcb8	ABCB8
Cdk5	CDK5
Slc4a2	SLC4A2
Fastk	FASTK
Tmub1	TMUB1
Agap3	AGAP3
Abcf2	ABCF2
Chpf2	CHPF2
Smarcd3	SMARCD3
Nub1	NUB1
Wdr86	WDR86
Crygn	CRYGN
Rheb	RHEB
Prkag2	PRKAG2
Galnt11	GALNT11
Kmt2c	KMT2C
Xrcc2	XRCC2
Actr3b	ACTR3B
Insig1	INSIG1
En2	EN2
Rnf32	RNF32
Lmbr1	LMBR1
Nom1	NOM1
Ube3c	UBE3C
Dnajb6	DNAJB6
Il6	IL6
Tyms	TYMS
Garem2	GAREM2
Hadha	HADHA
Hadhb	HADHB
Adgrf3	ADGRF3
Selenoi	SELENOI
Drc1	DRC1
Otof	OTOF
Kcnk3	KCNK3
Slc35f6	SLC35F6
Cenpa	CENPA
Dpysl5	DPYSL5
Mapre3	MAPRE3
Tmem214	TMEM214
Agbl5	AGBL5
Emilin1	EMILIN1
Khk	KHK
Cgref1	CGREF1
Preb	PREB
Slc5a6	SLC5A6
Atraid	ATRAID
Cad	CAD
Mpv17	MPV17
Gtf3c2	GTF3C2
Eif2b4	EIF2B4
Snx17	SNX17
Zfp513	ZNF513
Ppm1g	PPM1G
Nrbp1	NRBP1
Krtcap3	KRTCAP3
Ift172	IFT172
Fndc4	FNDC4
Zfp512	ZNF512
Gpn1	GPN1
Supt7l	SUPT7L
Slc4a1ap	SLC4A1AP
Mrpl33	MRPL33
Rbks	RBKS
Babam2	BABAM2
Fosl2	FOSL2
Plb1	PLB1
Ppp1cb	PPP1CB
Yes1	YES1
Pisd	PISD
Prr14l	PRR14L
Depdc5	DEPDC5
Ywhah	YWHAH
Spon2	SPON2
Ctbp1	CTBP1
Maea	MAEA
Uvssa	UVSSA
Fam53a	FAM53A
Slbp	SLBP
Tmem129	TMEM129
Tacc3	TACC3
Fgfr3	FGFR3
Letm1	LETM1
Nsd2	NSD2
Nelfa	NELFA
Nat8l	NAT8L
Haus3	HAUS3
Mxd4	MXD4
Zfyve28	ZFYVE28
Rnf4	RNF4
Fam193a	FAM193A
Tnip2	TNIP2
Sh3bp2	SH3BP2
Add1	ADD1
Mfsd10	MFSD10
Nop14	NOP14
Grk4	GRK4
Htt	HTT
Rgs12	RGS12
Hgfac	HGFAC
Lrpap1	LRPAP1
Cpz	CPZ
Trmt44	TRMT44
Acox3	ACOX3
Htra3	HTRA3
Sh3tc1	SH3TC1
Ablim2	ABLIM2
Afap1	AFAP1
Sorcs2	SORCS2
Grpel1	GRPEL1
Tada2b	TADA2B
Ccdc96	CCDC96
Tbc1d14	TBC1D14
D5Ertd579e	KIAA0232
Bloc1s4	BLOC1S4
Mrfap1	MRFAP1
Man2b2	MAN2B2
Ppp2r2c	PPP2R2C
Wfs1	WFS1
Jakmip1	JAKMIP1
Crmp1	CRMP1
Evc	EVC
Evc2	EVC2
Msx1	MSX1
Stx18	STX18
Nsg1	NSG1
Zbtb49	ZBTB49
Lyar	LYAR
Tmem128	TMEM128
Otop1	OTOP1
Slc2a9	SLC2A9
Wdr1	WDR1
Zfp518b	ZNF518B
Clnk	CLNK
Hs3st1	HS3ST1
Rab28	RAB28
Bod1l	BOD1L1
Cpeb2	CPEB2
C1qtnf7	C1QTNF7
Cc2d2a	CC2D2A
Fbxl5	FBXL5
Bst1	BST1
Cd38	CD38
Fgfbp1	FGFBP1
Prom1	PROM1
Tapt1	TAPT1
Ldb2	LDB2
Qdpr	QDPR
Lap3	LAP3
Med28	MED28
Ncapg	NCAPG
Lcorl	LCORL
Slit2	SLIT2
Adgra3	ADGRA3
Ppargc1a	PPARGC1A
Dhx15	DHX15
Sod3	SOD3
Ccdc149	CCDC149
Lgi2	LGI2
Sepsecs	SEPSECS
Pi4k2b	PI4K2B
Zcchc4	ZCCHC4
Anapc4	ANAPC4
Sel1l3	SEL1L3
Smim20	SMIM20
Rbpj	RBPJ
Tbc1d19	TBC1D19
Stim2	STIM2
Pcdh7	PCDH7
Arap2	ARAP2
Nwd2	NWD2
0610040J01Rik	C4orf19
Rell1	RELL1
Pgm1	PGM1
Tbc1d1	TBC1D1
Klf3	KLF3
Tlr1	TLR1
Tlr6	TLR6
Fam114a1	FAM114A1
Tmem156	TMEM156
Klhl5	KLHL5
Wdr19	WDR19
Rfc1	RFC1
Rpl9	RPL9
Lias	LIAS
Ugdh	UGDH
Smim14	SMIM14
Ube2k	UBE2K
Pds5a	PDS5A
N4bp2	N4BP2
Rhoh	RHOH
Chrna9	CHRNA9
Rbm47	RBM47
Nsun7	NSUN7
Apbb2	APBB2
Uchl1	UCHL1
Limch1	LIMCH1
Tmem33	TMEM33
Slc30a9	SLC30A9
Bend4	BEND4
Atp8a1	ATP8A1
Guf1	GUF1
Gnpda2	GNPDA2
Gabrb1	GABRB1
Commd8	COMMD8
Corin	CORIN
Nfxl1	NFXL1
Cnga1	CNGA1
Nipal1	NIPAL1
Txk	TXK
Tec	TEC
Slain2	SLAIN2
Fryl	FRYL
Ociad1	OCIAD1
Ociad2	OCIAD2
Cwh43	CWH43
Dcun1d4	DCUN1D4
Sgcb	SGCB
Usp46	USP46
Rasl11b	RASL11B
Scfd2	SCFD2
Lnx1	LNX1
Chic2	CHIC2
Pdgfra	PDGFRA
Kit	KIT
Kdr	KDR
Srd5a3	SRD5A3
Tmem165	TMEM165
Clock	CLOCK
Exoc1	EXOC1
Cep135	CEP135
Aasdh	AASDH
Ppat	PPAT
Paics	PAICS
Srp72	SRP72
Arl9	ARL9
Hopx	HOPX
Rest	REST
Noa1	NOA1
Polr2b	POLR2B
Igfbp7	IGFBP7
Adgrl3	ADGRL3
Tecrl	TECRL
Cenpc1	CENPC
Stap1	STAP1
Uba6	UBA6
Tmprss11e	TMPRSS11E
Ythdc1	YTHDC1
Csn3	CSN3
Jchain	JCHAIN
Utp3	UTP3
Rufy3	RUFY3
Grsf1	GRSF1
Mob1b	MOB1B
Dck	DCK
Slc4a4	SLC4A4
Cox18	COX18
Ankrd17	ANKRD17
Afp	AFP
Rassf6	RASSF6
Cxcl5	CXCL6
Ppbp	PPBP
Pf4	PF4
Cxcl1	CXCL2
Cxcl2	CXCL3
Mthfd2l	MTHFD2L
Epgn	EPGN
Ereg	EREG
Areg	AREG
Btc	BTC
Parm1	PARM1
Rchy1	RCHY1
Odaph	ODAPH
Cdkl2	CDKL2
G3bp2	G3BP2
Uso1	USO1
Ppef2	PPEF2
Naaa	NAAA
Sdad1	SDAD1
Cxcl9	CXCL9
Art3	ART3
Cxcl10	CXCL10
Nup54	NUP54
Scarb2	SCARB2
Stbd1	STBD1
Shroom3	SHROOM3
Ccni	CCNI
Ccng2	CCNG2
Cxcl13	CXCL13
Cnot6l	CNOT6L
Mrpl1	MRPL1
Fras1	FRAS1
Anxa3	ANXA3
Bmp2k	BMP2K
Paqr3	PAQR3
Antxr2	ANTXR2
Prdm8	PRDM8
Bmp3	BMP3
Prkg2	PRKG2
Rasgef1b	RASGEF1B
Hnrnpd	HNRNPD
Hnrnpdl	HNRNPDL
Enoph1	ENOPH1
Tmem150c	TMEM150C
Sec31a	SEC31A
Lin54	LIN54
Cops4	COPS4
Plac8	PLAC8
Coq2	COQ2
Hpse	HPSE
Helq	HELQ
Mrps18c	MRPS18C
Abraxas1	ABRAXAS1
Gpat3	GPAT3
Cds1	CDS1
Wdfy3	WDFY3
Arhgap24	ARHGAP24
Ptpn13	PTPN13
Slc10a6	SLC10A6
Aff1	AFF1
Klhl8	KLHL8
Hsd17b11	HSD17B11
Nudt9	NUDT9
Sparcl1	SPARCL1
Dmp1	DMP1
Ibsp	IBSP
Spp1	SPP1
Pkd2	PKD2
Gbp9	GBP6
Gbp4	GBP6
Gbp10	GBP6
Gbp6	GBP6
Lrrc8b	LRRC8B
Lrrc8c	LRRC8C
Lrrc8d	LRRC8D
Zfp326	ZNF326
Zfp644	ZNF644
Cdc7	CDC7
Tgfbr3	TGFBR3
Brdt	BRDT
Ephx4	EPHX4
1700028K03Rik	C1orf146
Glmn	GLMN
Rpap2	RPAP2
Gfi1	GFI1
Evi5	EVI5
Rpl5	RPL5
Mtf2	MTF2
Tmed5	TMED5
Ccdc18	CCDC18
Dr1	DR1
Pigg	PIGG
Mfsd7a	SLC49A3
Pcgf3	PCGF3
Cplx1	CPLX1
Gak	GAK
Tmem175	TMEM175
Dgkq	DGKQ
Idua	IDUA
Fgfrl1	FGFRL1
Crlf2	CRLF2
Gtpbp6	GTPBP6
Zfp605	ZNF605
Chfr	CHFR
Golga3	GOLGA3
Ankle2	ANKLE2
Pgam5	PGAM5
Pxmp2	PXMP2
Pole	POLE
Fbrsl1	FBRSL1
Galnt9	GALNT9
Noc4l	NOC4L
Ddx51	DDX51
Ep400	EP400
Pus1	PUS1
Ulk1	ULK1
Hscb	HSCB
Chek2	CHEK2
Ttc28	TTC28
Pitpnb	PITPNB
Mn1	MN1
Cryba4	CRYBA4
Crybb1	CRYBB1
Tpst2	TPST2
Tfip11	TFIP11
Srrd	SRRD
Hps4	HPS4
Grk3	GRK3
Crybb3	CRYBB3
Sgsm1	SGSM1
Wscd2	WSCD2
Cmklr1	CMKLR1
Ficd	FICD
Sart3	SART3
Iscu	ISCU
Tmem119	TMEM119
Selplg	SELPLG
Coro1c	CORO1C
Ssh1	SSH1
Dao	DAO
Usp30	USP30
Alkbh2	ALKBH2
Ung	UNG
Acacb	ACACB
Myo1h	MYO1H
Kctd10	KCTD10
Ube3b	UBE3B
Mmab	MMAB
Mvk	MVK
Fam222a	FAM222A
Trpv4	TRPV4
Gltp	GLTP
Tchp	TCHP
Git2	GIT2
Ankrd13a	ANKRD13A
Oasl1	OASL
2210016L21Rik	C12orf43
Sppl3	SPPL3
Acads	ACADS
Unc119b	UNC119B
Mlec	MLEC
Pop5	POP5
Rnf10	RNF10
Coq5	COQ5
Dynll1	DYNLL1
Srsf9	SRSF9
Gatc	GATC
Triap1	TRIAP1
Cox6a1	COX6A1
Msi1	MSI1
Sirt4	SIRT4
Pxn	PXN
Rplp0	RPLP0
Rab35	RAB35
Bicdl1	BICDL1
Cit	CIT
Prkab1	PRKAB1
Hspb8	HSPB8
Srrm4	SRRM4
Suds3	SUDS3
Taok3	TAOK3
Pebp1	PEBP1
Vsig10	VSIG10
Wsb2	WSB2
Rfc5	RFC5
Ksr2	KSR2
Fbxo21	FBXO21
Tesc	TESC
Fbxw8	FBXW8
Rnft2	RNFT2
Med13l	MED13L
Tbx3	TBX3
Rbm19	RBM19
Sdsl	SDSL
Plbd2	PLBD2
Slc8b1	SLC8B1
Tpcn1	TPCN1
Iqcd	IQCD
Rita1	RITA1
Ddx54	DDX54
Rasal1	RASAL1
Dtx1	DTX1
Oas2	OAS2
Oas3	OAS3
Oas1g	OAS1
Oas1a	OAS1
Ptpn11	PTPN11
Rpl6	RPL6
Hectd4	HECTD4
Trafd1	TRAFD1
Naa25	NAA25
Erp29	ERP29
Tmem116	TMEM116
Mapkapk5	MAPKAPK5
Aldh2	ALDH2
Acad10	ACAD10
Brap	BRAP
Atxn2	ATXN2
Sh2b3	SH2B3
Myl2	MYL2
Ccdc63	CCDC63
Hvcn1	HVCN1
Tctn1	TCTN1
Pptc7	PPTC7
Rad9b	RAD9B
Vps29	VPS29
Fam216a	FAM216A
Gpn3	GPN3
Arpc3	ARPC3
Anapc7	ANAPC7
Atp2a2	ATP2A2
Ift81	IFT81
P2rx7	P2RX7
P2rx4	P2RX4
Camkk2	CAMKK2
Anapc5	ANAPC5
Rnf34	RNF34
Kdm2b	KDM2B
Orai1	ORAI1
Tmem120b	TMEM120B
Rhof	RHOF
Psmd9	PSMD9
Wdr66	CFAP251
Bcl7a	BCL7A
Mlxip	MLXIP
Diablo	DIABLO
Vps33a	VPS33A
Clip1	CLIP1
Zcchc8	ZCCHC8
Kntc1	KNTC1
Hcar2	HCAR2
Denr	DENR
Ccdc62	CCDC62
Hip1r	HIP1R
Vps37b	VPS37B
Abcb9	ABCB9
Ogfod2	OGFOD2
Arl6ip4	ARL6IP4
Pitpnm2	PITPNM2
Mphosph9	MPHOSPH9
Cdk2ap1	CDK2AP1
Sbno1	SBNO1
Kmt5a	KMT5A
Rilpl2	RILPL2
Snrnp35	SNRNP35
Rilpl1	RILPL1
Tmed2	TMED2
Ddx55	DDX55
Eif2b1	EIF2B1
Gtf2h3	GTF2H3
Atp6v0a2	ATP6V0A2
Ccdc92	CCDC92
Zfp664	ZNF664
Ncor2	NCOR2
Scarb1	SCARB1
Ubc	UBC
Dhx37	DHX37
Bri3bp	BRI3BP
Aacs	AACS
Slc15a4	SLC15A4
Glt1d1	GLT1D1
Stx2	STX2
Ran	RAN
Adgrd1	ADGRD1
Sfswap	SFSWAP
Mmp17	MMP17
Zfp11	ZNF546
Mrps17	MRPS17
Nipsnap2	NIPSNAP2
Psph	PSPH
Sumf2	SUMF2
Phkg1	PHKG1
Chchd2	CHCHD2
Zbed5	ZBED5
Nupr1l	NUPR2
Vkorc1l1	VKORC1L1
Gusb	GUSB
Asl	ASL
Crcp	CRCP
Tpst1	TPST1
Kctd7	KCTD7
Rabgef1	RABGEF1
Tmem248	TMEM248
Sbds	SBDS
Tyw1	TYW1
Galnt17	GALNT17
Auts2	AUTS2
Rcc1l	RCC1L
Ncf1	NCF1
Gtf2i	GTF2I
Gtf2ird1	GTF2IRD1
Clip2	CLIP2
Rfc2	RFC2
Lat2	LAT2
Eif4h	EIF4H
Limk1	LIMK1
Mettl27	METTL27
Cldn4	CLDN4
Cldn3	CLDN3
Abhd11	ABHD11
Stx1a	STX1A
Bud23	BUD23
Dnajc30	DNAJC30
Vps37d	VPS37D
Mlxipl	MLXIPL
Tbl2	TBL2
Bcl7b	BCL7B
Baz1b	BAZ1B
Fzd9	FZD9
Nsun5	NSUN5
Hip1	HIP1
Ccl24	CCL24
Rhbdd2	RHBDD2
Por	POR
Tmem120a	TMEM120A
Styxl1	STYXL1
Mdh2	MDH2
Hspb1	HSPB1
Ywhag	YWHAG
Ssc4d	SSC4D
Dtx2	DTX2
Upk3bl	UPK3BL1
Rasa4	RASA4
Polr2j	POLR2J
Lrwd1	LRWD1
Alkbh4	ALKBH4
Orai2	ORAI2
Prkrip1	PRKRIP1
Sh2b2	SH2B2
Myl10	MYL10
Ift22	IFT22
Fis1	FIS1
Cldn15	CLDN15
Znhit1	ZNHIT1
Plod3	PLOD3
Vgf	VGF
Ap1s1	AP1S1
Serpine1	SERPINE1
Trim56	TRIM56
Ache	ACHE
Ufsp1	UFSP1
Srrt	SRRT
Trip6	TRIP6
Slc12a9	SLC12A9
Ephb4	EPHB4
Zan	ZAN
Pop7	POP7
Gigyf1	GIGYF1
Gnb2	GNB2
Tfr2	TFR2
Mospd3	MOSPD3
Pcolce	PCOLCE
Fbxo24	FBXO24
Lrch4	LRCH4
Sap25	SAP25
Agfg2	AGFG2
Nyap1	NYAP1
Tsc22d4	TSC22D4
Ppp1r35	PPP1R35
Mepce	MEPCE
Zcwpw1	ZCWPW1
Pilra	PILRA
Pilrb1	PILRB
Pilrb2	PILRB
Zkscan1	ZKSCAN1
Zscan21	ZSCAN21
Zfp113	ZNF3
Cops6	COPS6
Mcm7	MCM7
Ap4m1	AP4M1
Taf6	TAF6
Cnpy4	CNPY4
Mblac1	MBLAC1
Lamtor4	LAMTOR4
Stag3	STAG3
Pvrig	PVRIG
Zfp157	ZNF613
Fam20c	FAM20C
Pdgfa	PDGFA
Prkar1b	PRKAR1B
Dnaaf5	DNAAF5
Sun1	SUN1
Get4	GET4
Adap1	ADAP1
Cox19	COX19
3110082I17Rik	C7orf50
Gpr146	GPR146
Gper1	GPER1
Zfand2a	ZFAND2A
Micall2	MICALL2
Ints1	INTS1
Mafk	MAFK
Tmem184a	TMEM184A
Psmg3	PSMG3
Mad1l1	MAD1L1
Nudt1	NUDT1
Mrm2	MRM2
Snx8	SNX8
Eif3b	EIF3B
Chst12	CHST12
Lfng	LFNG
Ttyh3	TTYH3
Iqce	IQCE
Brat1	BRAT1
Amz1	AMZ1
Gna12	GNA12
Card11	CARD11
Sdk1	SDK1
Foxk1	FOXK1
Ap5z1	AP5Z1
Radil	RADIL
Wipi2	WIPI2
Slc29a4	SLC29A4
Tnrc18	TNRC18
Fbxl18	FBXL18
Actb	ACTB
Fscn1	FSCN1
Rnf216	RNF216
Rbak	RBAK
Zfp12	ZNF12
Zfp316	ZNF316
E130309D02Rik	C7orf26
Zdhhc4	ZDHHC4
Kdelr2	KDELR2
Daglb	DAGLB
Rac1	RAC1
Fam220a	FAM220A
Cyth3	CYTH3
Usp42	USP42
Eif2ak1	EIF2AK1
Ankrd61	ANKRD61
Aimp2	AIMP2
Pms2	PMS2
Lmtk2	LMTK2
Bhlha15	BHLHA15
Tecpr1	TECPR1
Bri3	BRI3
Baiap2l1	BAIAP2L1
Trrap	TRRAP
Smurf1	SMURF1
Arpc1a	ARPC1A
Arpc1b	ARPC1B
Pdap1	PDAP1
Ptcd1	ATP5MF-PTCD1
Cpsf4	CPSF4
Atp5j2	ATP5MF
Zkscan14	ZNF394
Zkscan5	ZKSCAN5
Zfp655	ZNF655
Zscan25	ZSCAN25
Rnf6	RNF6
Cdk8	CDK8
Usp12	USP12
Rpl21	RPL21
Rasl11a	RASL11A
Gtf3a	GTF3A
Mtif3	MTIF3
Lnx2	LNX2
Polr1d	POLR1D
Flt3	FLT3
Pan3	PAN3
Flt1	FLT1
Pomp	POMP
Slc46a3	SLC46A3
Mtus2	MTUS2
Slc7a1	SLC7A1
Ubl3	UBL3
Katnal1	KATNAL1
Uspl1	USPL1
Alox5ap	ALOX5AP
Medag	MEDAG
Tex26	TEX26
Hsph1	HSPH1
B3glct	B3GLCT
Fry	FRY
Brca2	BRCA2
N4bp2l1	N4BP2L1
N4bp2l2	N4BP2L2
Pds5b	PDS5B
Stard13	STARD13
Rfc3	RFC3
Samd9l	SAMD9L
Hepacam2	HEPACAM2
Vps50	VPS50
Tfpi2	TFPI2
Gngt1	GNGT1
Gng11	GNG11
Bet1	BET1
Col1a2	COL1A2
Casd1	CASD1
Sgce	SGCE
Peg10	PEG10
Ppp1r9a	PPP1R9A
Pon3	PON3
Pon2	PON2
Asb4	ASB4
Slc25a13	SLC25A13
Sem1	SEM1
Sdhaf3	SDHAF3
Tac1	TAC1
Asns	ASNS
C1galt1	C1GALT1
Col28a1	COL28A1
Mios	MIOS
Rpa3	RPA3
Glcci1	GLCCI1
Ica1	ICA1
Ndufa4	NDUFA4
Phf14	PHF14
Thsd7a	THSD7A
Tmem106b	TMEM106B
Tmem168	TMEM168
Bmt2	BMT2
Gpr85	GPR85
Mdfic	MDFIC
Tfec	TFEC
Tes	TES
Cav2	CAV2
Cav1	CAV1
Met	MET
Capza2	CAPZA2
St7	ST7
Wnt2	WNT2
Cttnbp2	CTTNBP2
Lsm8	LSM8
Tspan12	TSPAN12
Ing3	ING3
Cped1	CPED1
Wnt16	WNT16
Fam3c	FAM3C
Cadps2	CADPS2
Ndufa5	NDUFA5
Pot1a	POT1
Grm8	GRM8
Zfp800	ZNF800
Gcc1	GCC1
Arf5	ARF5
Snd1	SND1
Lrrc4	LRRC4
Rbm28	RBM28
Impdh1	IMPDH1
Hilpda	HILPDA
Fam71f2	FAM71F2
Fam71f1	FAM71F1
Calu	CALU
Opn1sw	OPN1SW
Ccdc136	CCDC136
Flnc	FLNC
Atp6v1f	ATP6V1F
Kcp	KCP
Irf5	IRF5
Tnpo3	TNPO3
Tspan33	TSPAN33
Smo	SMO
Ahcyl2	AHCYL2
Strip2	STRIP2
Nrf1	NRF1
Ube2h	UBE2H
Zc3hc1	ZC3HC1
Klhdc10	KLHDC10
Tmem209	TMEM209
Ssmem1	SSMEM1
Cpa2	CPA2
Cep41	CEP41
Mest	MEST
Copg2	COPG2
Mkln1	MKLN1
Podxl	PODXL
Plxna4	PLXNA4
Chchd3	CHCHD3
Exoc4	EXOC4
Slc35b4	SLC35B4
Akr1b3	AKR1B1
Akr1b8	AKR1B10
Bpgm	BPGM
Agbl3	AGBL3
Tmem140	TMEM140
Wdr91	WDR91
Cnot4	CNOT4
Nup205	NUP205
Mtpn	MTPN
Ptn	PTN
Dgki	DGKI
Creb3l2	CREB3L2
Trim24	TRIM24
D630045J12Rik	KIAA1549
Zc3hav1l	ZC3HAV1L
Zc3hav1	ZC3HAV1
Ttc26	TTC26
Ubn2	UBN2
Fmc1	FMC1
Luc7l2	LUC7L2
Klrg2	KLRG2
Clec2l	CLEC2L
Hipk2	HIPK2
Tbxas1	TBXAS1
Parp12	PARP12
Kdm7a	KDM7A
Slc37a3	SLC37A3
Rab19	RAB19
Mkrn1	MKRN1
Dennd2a	DENND2A
Adck2	ADCK2
Ndufb2	NDUFB2
Braf	BRAF
Mrps33	MRPS33
Agk	AGK
Ssbp1	SSBP1
Clec5a	CLEC5A
Mgam	MGAM
Prss2	PRSS2
Ephb6	EPHB6
Gstk1	GSTK1
Tmem139	TMEM139
Casp2	CASP2
Fam131b	FAM131B
Zyx	ZYX
Epha1	EPHA1
Tcaf2	TCAF2
Tcaf1	TCAF1
Arhgef5	ARHGEF5
Tpk1	TPK1
Cntnap2	CNTNAP2
Cul1	CUL1
Ezh2	EZH2
Pdia4	PDIA4
Zfp398	ZNF398
Zfp282	ZNF282
Zfp212	ZNF212
Zfp777	ZNF777
Zfp746	ZNF746
Krba1	KRBA1
Zfp467	ZNF467
Atp6v0e2	ATP6V0E2
